500,,,,
1000,,,,
1500,,,,
2000,,,,
2500,,,,
3000,,,,
500,,,,
1000,,,,
1500,0.1,0.1,0.1,
2000,0.2,0.2,0.2,
2500,0.3,0.3,0.3,
3000,0.4,0.4,0.4,
500,,,,
1000,0.1,0.1,0.1,
1500,0.2,0.1,0.1,
2000,0.3,0.3,0.3,
2500,0.4,0.4,0.4,
3000,0.5,0.5,0.5,
500,,,,
1000,0.1,0.1,0.1,
1500,0.2,0.2,0.1,
2000,0.3,0.3,0.3,
2500,0.4,0.4,0.4,
3000,0.6,0.6,0.6,
500,,,,
1000,0.1,0.1,0.1,
1500,0.1,0.1,0.1,
2000,0.3,0.3,0.3,
2500,0.4,0.4,0.4,
3000,0.6,0.6,0.5,
500,,,,
1000,0.1,0.1,0.1,
1500,0.2,0.2,0.1,
2000,0.3,0.3,0.3,
2500,0.4,0.4,0.4,
3000,0.6,0.6,0.6,
500,,,,
1000,0.1,0.1,0.1,
1500,0.2,0.2,0.2,
2000,0.3,0.3,0.3,
2500,0.4,0.4,0.4,
3000,0.6,0.6,0.6,
