20000000,,,,
40000000,,,,
60000000,,,,
80000000,,,,
100000000,,,,
120000000,,,,
140000000,,,,
20000000,11.4,11.4,11.4,
40000000,22.7,22.7,22.7,
60000000,34.1,34.1,34.1,
80000000,45.4,45.4,45.4,
100000000,56.8,56.8,56.8,
120000000,68.2,68.2,68.2,
140000000,79.5,79.5,79.5,
20000000,10.9,11.4,11.4,
40000000,22.7,22.7,22.7,
60000000,34.1,34.1,34.1,
80000000,45.4,45.4,45.4,
100000000,56.8,56.8,56.8,
120000000,68.2,68.2,68.2,
140000000,79.5,79.5,79.5,
20000000,11.2,11.2,11.4,
40000000,22.7,22.7,22.7,
60000000,34.1,34.1,34.1,
80000000,45.4,45.4,45.4,
100000000,56.8,56.8,56.8,
120000000,68.2,68.2,68.2,
140000000,79.5,79.5,79.5,
20000000,11.2,11.4,11.4,
40000000,22.7,22.7,22.7,
60000000,34.1,34.1,34.1,
80000000,45.4,45.4,45.4,
100000000,56.8,56.8,56.8,
120000000,68.2,68.2,68.2,
140000000,79.5,79.5,79.5,
