20000000,10.9,10.9,10.9,
40000000,21.7,21.7,21.7,
60000000,32.6,32.6,32.6,
80000000,43.5,43.5,43.5,
100000000,54.3,54.3,54.3,
120000000,65.2,65.2,65.2,
140000000,76.1,76.1,76.1,
20000000,10.9,10.9,10.9,
40000000,21.7,21.7,21.7,
60000000,32.6,32.6,32.6,
80000000,43.5,43.5,43.5,
100000000,54.3,54.3,54.3,
120000000,65.2,65.2,65.2,
140000000,76.1,76.1,76.1,
20000000,10.9,10.9,10.9,
40000000,21.7,21.7,21.7,
60000000,32.6,32.6,32.6,
80000000,43.5,43.5,43.5,
100000000,54.3,54.3,54.3,
120000000,65.2,65.2,65.2,
140000000,76.1,76.1,76.1,
20000000,10.9,10.9,10.9,
40000000,21.7,21.7,21.7,
60000000,32.6,32.6,32.6,
80000000,43.5,43.5,43.5,
100000000,54.3,54.3,54.3,
120000000,65.2,65.2,65.2,
140000000,76.1,76.1,76.1,
