20000000,,,,
40000000,,,,
60000000,,,,
80000000,,,,
100000000,,,,
120000000,,,,
140000000,,,,
20000000,13.5,13.5,13.5,
40000000,26.9,26.9,26.9,
60000000,40.3,40.3,40.3,
80000000,53.8,53.8,53.8,
100000000,67.2,67.2,67.2,
120000000,80.7,80.7,80.7,
140000000,94.1,94.1,94.1,
20000000,13.5,13.5,13.5,
40000000,26.9,26.9,26.9,
60000000,40.3,40.3,40.3,
80000000,53.8,53.8,53.8,
100000000,67.1,67.1,67.1,
120000000,80.7,80.7,80.7,
140000000,94.1,94.1,94.1,
20000000,13.5,13.5,13.5,
40000000,26.9,26.9,26.9,
60000000,40.3,40.3,40.3,
80000000,53.8,53.8,53.8,
100000000,67.1,67.2,67.1,
120000000,80.7,80.7,80.7,
140000000,94.1,94.1,94.1,
20000000,13.5,13.5,13.5,
40000000,26.9,26.9,26.9,
60000000,40.3,40.3,40.3,
80000000,53.8,53.8,53.8,
100000000,67.1,67.1,67.1,
120000000,80.7,80.7,80.7,
140000000,94.1,94.1,94.1,
