Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
7500,0.100,0.100,0.100,0.100,0.100,0.099,0.100,0.100,0.099,0.100,0.100,0.099,
15000,0.498,0.502,0.495,0.498,0.495,0.494,0.506,0.494,0.494,0.497,0.489,0.495,
22500,1.216,1.222,1.239,1.210,1.214,1.230,1.215,1.218,1.231,1.184,1.207,1.212,
30000,2.235,2.244,2.251,2.237,2.247,2.240,2.265,2.238,2.234,2.244,2.248,2.248,
37500,3.484,3.528,3.526,3.540,3.562,3.514,3.540,3.571,3.510,3.523,3.569,3.569,
45000,5.114,5.091,5.090,5.121,5.083,5.168,5.122,5.147,5.099,5.146,5.142,5.085,
52500,6.949,6.997,7.006,6.953,7.031,6.954,7.104,6.972,7.001,7.014,6.987,6.997,
60000,9.186,9.255,9.211,9.227,9.234,9.229,9.201,9.198,9.147,9.218,9.122,9.045,
7500,0.101,0.101,0.103,0.103,0.101,0.102,0.103,0.102,0.102,0.101,0.104,0.103,
15000,0.505,0.505,0.496,0.508,0.508,0.508,0.506,0.507,0.507,0.507,0.505,0.500,
22500,1.235,1.247,1.237,1.234,1.239,1.255,1.237,1.249,1.239,1.247,1.246,1.253,
30000,2.297,2.296,2.284,2.285,2.299,2.280,2.294,2.272,2.295,2.305,2.271,2.273,
37500,3.579,3.595,3.586,3.570,3.583,3.574,3.611,3.606,3.564,3.588,3.601,3.580,
45000,5.118,5.148,5.188,5.166,5.150,5.163,5.170,5.197,5.176,5.129,5.165,5.176,
52500,7.153,7.125,7.069,7.124,7.138,7.108,7.076,7.077,7.063,7.063,7.141,7.140,
60000,9.268,9.326,9.242,9.313,9.348,9.309,9.282,9.275,9.348,9.196,9.237,9.134,
7500,0.123,0.123,0.123,0.123,0.123,0.123,0.122,0.123,0.124,0.123,0.124,0.124,
15000,0.559,0.556,0.565,0.557,0.558,0.558,0.558,0.557,0.564,0.562,0.559,0.554,
22500,1.297,1.309,1.315,1.304,1.321,1.310,1.306,1.300,1.304,1.307,1.319,1.304,
30000,2.363,2.366,2.359,2.366,2.359,2.375,2.383,2.387,2.388,2.352,2.373,2.361,
37500,3.673,3.713,3.678,3.667,3.677,3.705,3.703,3.665,3.686,3.716,3.673,3.662,
45000,5.291,5.352,5.283,5.317,5.306,5.306,5.281,5.290,5.244,5.297,5.291,5.307,
52500,7.215,7.226,7.187,7.187,7.189,7.171,7.200,7.138,7.201,7.199,7.207,7.184,
60000,9.381,9.415,9.396,9.401,9.457,9.367,9.394,9.382,9.341,9.507,9.361,9.391,
7500,0.282,0.283,0.285,0.282,0.281,0.281,0.282,0.281,0.284,0.280,0.280,0.281,
15000,0.978,0.979,0.986,0.981,0.970,0.984,0.956,0.973,0.976,0.974,0.983,0.972,
22500,1.893,1.901,1.912,1.901,1.911,1.905,1.908,1.915,1.910,1.918,1.883,1.902,
30000,3.158,3.080,3.126,3.112,3.098,3.121,3.115,3.100,3.152,3.101,3.142,3.117,
37500,4.653,4.634,4.625,4.619,4.691,4.632,4.634,4.613,4.625,4.635,4.657,4.624,
45000,6.353,6.436,6.455,6.436,6.511,6.430,6.414,6.380,6.500,6.431,6.432,6.413,
52500,8.561,8.614,8.542,8.504,8.552,8.515,8.607,8.491,8.531,8.566,8.607,8.614,
60000,11.031,10.902,11.067,11.041,11.065,11.071,10.909,11.018,11.037,10.942,10.902,10.950,
